#ASV ID,B10A01,B10A02,B10A03,B10A04,B10A05,B10A06,B10A07,B10A08,B10A09,B10A10,B10B01,B10B02,B10B04,B10B05,B10B06,B10B07,B10B08,B10B09,B11A02,B11A03,B11A04,B11A05,B11A06,B11A07,B11A08,B11A09,B11A10,B11B01,B11B02,B11B03,B11B04,B11B05,B11B06,B11B07,B11B08,B11B09,B11B10,B11C01,B11C02,B11C03,B11C04,B11C05,B11C06,B11C07,B11C08,B11C09,B11C10,B21A01,B21A02,B21A03,B21A04,B21A05,B21A06,B21A07,B21A08,B21A09,B21A10,B21B01,B21B02,B21B03,B21B04,B21B05,B21B06,B21B07,B21B08,B21B09,B21B10,B22A01,B22A02,B22A03,B22A04,B22A05,B22A06,B22A07,B22A08,B22A09,B22A10,B22A11,B22A12,B22A13,B22A14,B22A15,B22A16,B22A17,B22B01,B22B04,B22B05,B22B07,B22B13,B22B14,B22B15,B22B17
ASV_0042,682,56,48,0,162,27,377,0,65,112,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,6,0,125,257,261,279,261,39,200,144,177,249,15,89,39,25,0,5,0,39,12,20,128,143,121,317,29,509,108,63,300,205,2602,2363,2510,990,1210,1510,1866,2354,1894,1468,873,595,323,196,342,194,364,272,447,407,599,590,656,1170,402,57,75,698,698,955,241,989,129,705,835
ASV_0043,1007,108,20,22,0,866,1201,12,17,100,0,0,0,0,0,0,0,0,28,63,23,53,10,10,9,11,0,162,45,476,603,195,22,113,0,141,334,1738,68,1729,67,240,480,1567,299,1745,31,734,1132,1021,123,377,437,5900,158,1887,574,358,548,537,829,1665,588,1341,578,1153,593,219,66,10,0,53,13,26,13,10,22,68,90,42,222,0,34,51,351,94,194,0,159,3,85,7
ASV_0044,818,166,573,780,820,1121,1081,67,400,906,3,0,0,0,0,0,0,0,12,17,9,49,5,29,5,4,5,84,111,39,1092,168,315,170,17,153,11,319,8,380,101,75,126,304,88,951,53,30,270,69,630,7,28,437,15,327,42,633,512,1175,1409,1312,489,795,276,1427,363,607,62,38,496,682,593,353,1236,1167,1517,314,501,487,969,952,976,805,189,325,387,74,321,34,120,611
ASV_0045,357,26,5803,250,3867,1073,901,18,2993,4065,0,0,14,0,0,0,0,0,0,5,5,30,2,13,5,3,4,15,54,74,287,41,102,209,12,94,3,7,8,181,17,0,6,33,22,1111,22,53,85,43,688,40,261,402,9,144,33,336,268,261,102,200,237,160,84,208,143,545,329,137,645,295,199,332,481,312,768,200,491,135,682,325,421,1017,319,383,309,98,402,18,257,734
ASV_0046,0,0,0,0,0,0,0,0,0,0,23081,10583,54,8,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0047,0,0,0,0,0,0,0,0,0,0,21363,238,0,0,645,69,7564,0,14,23,177,26,275,2158,984,25,336,16,0,14,0,13,0,12,0,20,14,18,7,12,12,0,0,0,6,0,6,0,0,86,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
ASV_0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0049,3337,720,532,5857,865,2090,1470,760,669,786,135,39,282,235,24,36,72,526,119,93,176,75,109,172,77,52,119,45,125,65,58,52,59,84,116,34,26,369,184,47,150,140,203,105,120,76,168,391,574,281,505,224,322,391,57,478,291,351,271,261,822,508,967,529,778,733,426,24,104,145,119,57,101,69,22,97,42,80,37,116,40,78,0,23,43,104,36,280,54,24,120,41
ASV_0050,116,0,456,15,789,923,621,0,443,634,0,0,0,0,0,0,0,0,0,25,37,19,21,0,0,9,0,252,298,121,1270,318,368,345,72,205,62,9,19,248,31,58,18,39,189,230,47,408,841,448,1494,518,778,998,86,1382,430,654,791,830,1184,545,667,825,354,574,345,199,213,25,192,284,629,729,659,739,703,755,943,444,583,422,346,104,219,140,220,577,278,44,176,153
ASV_0051,0,0,0,0,0,0,0,0,0,0,0,2450,0,0,0,29057,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0052,49,15,1358,176,1090,754,628,0,961,1728,0,0,0,0,0,0,0,0,5,8,6,18,4,6,5,6,5,105,106,67,448,198,484,145,31,56,67,24,36,210,51,69,52,42,56,168,26,319,721,260,1433,340,798,1317,120,1043,151,437,367,539,608,192,313,292,190,361,240,367,115,146,1005,534,945,417,322,264,561,374,929,594,668,676,2010,1053,51,120,83,480,61,50,91,145
ASV_0053,78,0,1025,0,1210,656,477,0,590,1061,0,0,0,0,77,63,26,0,248,124,220,87,308,805,1190,28,155,115,239,56,1014,119,1013,127,85,69,79,248,895,170,4595,751,608,855,470,187,1007,80,179,50,101,53,99,151,27,155,36,143,160,190,380,134,137,110,90,128,112,184,113,405,511,573,828,541,231,294,165,296,450,438,347,510,688,221,29,99,76,116,43,52,155,94
ASV_0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,4084,3809,3196,692,1600,10093,5047,1049,64,52,49,45,60,57,46,48,49,59,37,36,62,50,12,13,58,95,60,22,0,0,0,12,0,0,8,6,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0055,0,0,0,0,0,0,0,0,0,0,0,30330,12,0,0,474,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
